
Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
* _____ ______   ________  ________  ___       ________  ________     *
*|\   _ \  _   \|\   ____\|\   ____\|\  \     |\   __  \|\   __  \    *
*\ \  \\\__\ \  \ \  \___|\ \  \___|\ \  \    \ \  \|\  \ \  \|\ /_   *
* \ \  \\|__| \  \ \  \    \ \_____  \ \  \    \ \   __  \ \   __  \  *
*  \ \  \    \ \  \ \  \____\|____|\  \ \  \____\ \  \ \  \ \  \|\  \ *
*   \ \__\    \ \__\ \_______\____\_\  \ \_______\ \__\ \__\ \_______\*
*    \|__|     \|__|\|_______|\_________\|_______|\|__|\|__|\|_______|*
*                            \|_________|                             *
*                                                                     *
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *

Simulation Specification:
    Number of Regions:        2
    Particles per Generation: 20000
    Number of Generations:    25
        Inactive Cycles:      10
        Active Cycles:        15
        Using FW-CADIS:       True

----------------------------------------------------------
| Generation | Shannon Entropy |    keff    |  std_dev   |
----------------------------------------------------------
|      1     |    6.6451e+00   |            |            |
|      2     |    6.2133e+00   |            |            |
|      3     |    6.2913e+00   |            |            |
|      4     |    6.3407e+00   |            |            |
|      5     |    6.3766e+00   |            |            |
|      6     |    6.4070e+00   |            |            |
|      7     |    6.4343e+00   |            |            |
|      8     |    6.4561e+00   |            |            |
|      9     |    6.4709e+00   |            |            |
|     10     |    6.4827e+00   |            |            |
|     11     |    6.5038e+00   |  1.191502  |            |
|     12     |    6.5116e+00   |  1.192173  |  0.000671  |
|     13     |    6.5236e+00   |  1.193232  |  0.001128  |
|     14     |    6.5304e+00   |  1.194553  |  0.001543  |
|     15     |    6.5232e+00   |  1.195100  |  0.001314  |
|     16     |    6.5327e+00   |  1.196274  |  0.001591  |
|     17     |    6.5389e+00   |  1.197196  |  0.001630  |
|     18     |    6.5439e+00   |  1.198072  |  0.001661  |
|     19     |    6.5478e+00   |  1.198900  |  0.001683  |
|     20     |    6.5440e+00   |  1.199443  |  0.001600  |
|     21     |    6.5431e+00   |  1.200116  |  0.001596  |
|     22     |    6.5495e+00   |  1.200676  |  0.001561  |
|     23     |    6.5523e+00   |  1.201275  |  0.001556  |
|     24     |    6.5476e+00   |  1.201774  |  0.001524  |
|     25     |    6.5478e+00   |  1.202194  |  0.001480  |
----------------------------------------------------------
Final k-eff = 1.202194 +/- 0.001480

Simulation complete. :-)

